COD. MUNIC;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial
1722081; 333 ; 1.450 ; 354 ; -   ; -   ; 138 ; 165 ; 9 ; 12 ; 2 ; -   ; -   ; 3 ; 12 ; 19 ; 93 ; 28 ; -   ; -   ; 31 ; 95 
1722107; 484 ; 2.046 ; 519 ; -   ; -   ; 163 ; 47 ; 5 ; 11 ; 3 ; -   ; -   ; 2 ; 10 ; 29 ; 111 ; 35 ; -   ; -   ; 18 ; 81 
2100055; 5.010 ; 19.631 ; 5.425 ; 1.157 ; 46 ; 1.533 ; 520 ; 49 ; 75 ; 21 ; 4 ; 1 ; 20 ; 73 ; 264 ; 868 ; 304 ; 56 ; 7 ; 155 ; 704 
2100105; 395 ; 1.871 ; 410 ; -   ; 9 ; 91 ; 37 ; 20 ; 20 ; 1 ; -   ; 1 ; 6 ; 9 ; 21 ; 119 ; 17 ; -   ; 3 ; 11 ; 71 
2100154; 601 ; 2.294 ; 827 ; -   ; -   ; 238 ; 71 ; 20 ; 29 ; 3 ; -   ; -   ; 8 ; 18 ; 47 ; 163 ; 38 ; -   ; -   ; 31 ; 71 
2100204; 670 ; 3.416 ; 745 ; 304 ; -   ; 325 ; 41 ; 31 ; 39 ; 4 ; 2 ; -   ; 8 ; 15 ; 48 ; 206 ; 74 ; 44 ; -   ; 50 ; 77 
2100303; 1.572 ; 5.720 ; 670 ; -   ; 146 ; 1.647 ; 164 ; 59 ; 64 ; 1 ; -   ; 6 ; 21 ; 25 ; 90 ; 283 ; 38 ; -   ; 19 ; 90 ; 189 
2100402; 408 ; 1.525 ; 415 ; 133 ; -   ; 915 ; 5 ; 13 ; 14 ; 2 ; 1 ; -   ; 6 ; 3 ; 23 ; 112 ; 19 ; 7 ; -   ; 40 ; 24 
2100436; 1.114 ; 4.805 ; 1.178 ; -   ; -   ; 305 ; 200 ; 26 ; 30 ; 1 ; -   ; -   ; 6 ; 19 ; 62 ; 278 ; 37 ; -   ; -   ; 19 ; 197 
2100477; 1.573 ; 5.851 ; 1.596 ; 27 ; -   ; 345 ; 241 ; 49 ; 55 ; 9 ; 1 ; -   ; 22 ; 44 ; 100 ; 395 ; 96 ; 6 ; -   ; 39 ; 335 
2100501; 395 ; 2.173 ; 410 ; -   ; -   ; 121 ; 20 ; 30 ; 39 ; 1 ; -   ; -   ; 2 ; 4 ; 22 ; 129 ; 16 ; -   ; -   ; 22 ; 34 
