COD. MUNIC;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial
5002902; 1.105 ; 2.696 ; 840 ; 14 ; -   ; 236 ; 259 ; 13 ; 12 ; 6 ; 1 ; -   ; 2 ; 14 ; 57 ; 158 ; 87 ; 4 ; -   ; 27 ; 169 
5002951; 1.962 ; 4.276 ; 947 ; 69 ; -   ; 488 ; 174 ; 15 ; 12 ; 5 ; 1 ; -   ; 3 ; 16 ; 123 ; 254 ; 88 ; 8 ; -   ; 32 ; 213 
5003108; 87 ; 742 ; 158 ; -   ; -   ; -   ; 61 ; 2 ; 3 ; 1 ; -   ; -   ; -   ; 4 ; 13 ; 58 ; 21 ; -   ; -   ; -   ; 54 
5003157; 794 ; 3.359 ; 591 ; 7 ; -   ; 296 ; 263 ; 7 ; 9 ; 2 ; 1 ; -   ; 3 ; 10 ; 64 ; 174 ; 36 ; 2 ; -   ; 22 ; 153 
5003207; 4.345 ; 15.624 ; 4.599 ; 1.493 ; -   ; 1.864 ; 566 ; 42 ; 50 ; 18 ; 7 ; -   ; 13 ; 48 ; 362 ; 924 ; 395 ; 144 ; -   ; 105 ; 797 
5003256; 1.785 ; 3.743 ; 977 ; 30 ; -   ; 344 ; 360 ; 11 ; 11 ; 2 ; 1 ; -   ; 2 ; 12 ; 112 ; 212 ; 64 ; 8 ; -   ; 27 ; 216 
5003306; 1.726 ; 4.672 ; 1.180 ; 437 ; -   ; 268 ; 184 ; 11 ; 13 ; 5 ; 3 ; -   ; 3 ; 16 ; 66 ; 239 ; 107 ; 55 ; -   ; 32 ; 227 
5003454; 476 ; 1.977 ; 622 ; 26 ; -   ; 228 ; 113 ; 6 ; 10 ; 5 ; 2 ; -   ; 2 ; 10 ; 37 ; 146 ; 67 ; 9 ; -   ; 22 ; 116 
5003488; 512 ; 1.574 ; 421 ; -   ; -   ; 468 ; 90 ; 6 ; 6 ; 3 ; -   ; -   ; 6 ; 9 ; 70 ; 123 ; 41 ; -   ; -   ; 70 ; 119 
5003504; 217 ; 836 ; 247 ; -   ; -   ; 99 ; 59 ; 1 ; 3 ; 1 ; -   ; -   ; 2 ; 3 ; 16 ; 50 ; 21 ; -   ; -   ; 11 ; 42 
