CD_GEOCODMU;LONG;LAT
2102150;-45,58209527;-4,330629897
2102200;-42,92510618;-3,9455715
2102309;-43,83562154;-5,835288132
2102325;-46,45149532;-4,325947726
2102358;-47,01722509;-5,588915142
2102374;-44,05968502;-2,931921039
2102408;-44,67337716;-2,882882203
2102507;-45,00796533;-3,323868831
2102556;-47,36763286;-6,164716646
2102606;-45,73726837;-1,453889109
2102705;-44,38181614;-3,628364312
2102754;-44,33043625;-4,721245389
2102804;-47,4700918;-7,330783005
2102903;-46,02315083;-1,200602
2103000;-43,35853943;-4,86167499
2103109;-44,53078953;-1,997915926
2103125;-44,8318437;-2,191313908
2103158;-46,03996011;-2,456985082
2103174;-46,12840895;-2,144291699
2103208;-43,36112078;-3,74002452
2103257;-47,78423278;-5,177421047
2103307;-43,88608024;-4,4513375
2103406;-43,01401362;-4,2547375
2103505;-44,24978023;-6,02736552
2103554;-44,90301591;-3,841118458
2103604;-44,1255992;-4,128976
2103703;-44,86776162;-1,825520781
2103752;-47,40499639;-5,534456216
2103802;-44,44000991;-5,038447635
2103901;-42,9441802;-4,147819097
2104008;-44,8860687;-4,870300897
2104057;-47,44788299;-6,56808498
2104073;-46,68735522;-6,963135541
2104081;-44,9107074;-6,154978463
2104099;-46,18635701;-6,435304106
2104107;-46,18555754;-6,965926087
2104206;-44,16062843;-5,736224132
2104305;-45,77175481;-1,409800187
2104404;-44,30590654;-5,143955569
2104503;-44,27575653;-5,025387824
2104552;-47,36893584;-5,747411739
2104602;-44,24696265;-5,322491002
2104628;-44,07088734;-5,472864685
2104651;-45,6745018;-3,42970472
2104677;-45,88148113;-2,13496236
2104701;-44,33579126;-5,404821213
2104800;-46,14239564;-5,818548431
2104909;-44,59774646;-2,135077158
2105005;-43,46509214;-2,591223972
2105104;-44,06584847;-2,774827863
2105153;-45,1833277;-3,636708522
2105203;-44,86740335;-4,660853806
2105302;-47,47981081;-5,526524025
2105351;-45,7926825;-5,144582262
2105401;-44,35426339;-3,39904548
2105427;-47,52790996;-4,455003998
2105450;-44,21991477;-5,819666937
2105476;-45,63337911;-5,369424926
